Pointages AviMéca
t;x;y
(s);(m);(m)
12,880;0,00E+0;0,00E+0
13,000;-1,04E-2;1,81E-1
13,120;-2,07E-2;2,96E-1
13,240;-1,56E-2;3,79E-1
13,360;-1,04E-2;4,51E-1
13,480;-1,04E-2;4,61E-1
13,600;-5,19E-3;4,77E-1
13,720;-1,56E-2;4,72E-1
13,840;0,00E+0;4,30E-1
13,960;-1,56E-2;3,58E-1
14,080;0,00E+0;2,90E-1
14,200;-5,19E-3;1,45E-1
14,320;0,00E+0;7,26E-2
