Pointages AviMéca
t;x;y
(s);(m);(m)
0,840;1,37E-1;1,09E+0
0,920;4,72E-1;9,88E-1
1,000;7,27E-1;8,20E-1
1,080;8,70E-1;6,40E-1
1,160;9,44E-1;5,40E-1
1,240;9,57E-1;5,78E-1
1,320;1,04E+0;7,02E-1
1,400;1,22E+0;8,63E-1
1,480;1,50E+0;1,00E+0
1,560;1,88E+0;1,04E+0
1,640;2,26E+0;1,00E+0
1,720;2,57E+0;8,07E-1
1,800;2,75E+0;6,27E-1
1,880;2,83E+0;4,97E-1
1,960;2,86E+0;4,84E-1
2,040;2,93E+0;5,84E-1
2,120;3,11E+0;7,70E-1
2,200;3,40E+0;9,50E-1
2,280;3,77E+0;1,02E+0
2,360;4,14E+0;9,94E-1
