Pointages AviMéca
t;x;y
(s);(m);(m)
0,000;2,51E-2;2,76E-1
0,080;1,21E-1;2,46E-1
0,160;1,96E-1;1,81E-1
0,240;2,31E-1;8,54E-2
0,320;2,41E-1;-2,01E-2
0,400;2,11E-1;-1,21E-1
0,480;1,61E-1;-1,91E-1
0,560;7,03E-2;-2,41E-1
0,640;-3,01E-2;-2,66E-1
0,720;-1,16E-1;-2,41E-1
0,800;-1,96E-1;-1,86E-1
0,880;-2,56E-1;-9,55E-2
0,960;-2,81E-1;-5,02E-3
1,040;-2,61E-1;1,00E-1
1,120;-2,21E-1;1,91E-1
1,200;-1,41E-1;2,56E-1
