Pointages AviMéca
t;x;y
(s);(m);(m)
0,160;3,33E-2;2,63E-2
0,200;1,13E-1;2,53E-2
0,240;1,82E-1;2,53E-2
0,280;2,50E-1;2,22E-2
0,320;3,19E-1;2,32E-2
0,360;3,86E-1;2,53E-2
0,400;4,54E-1;2,53E-2
0,440;5,16E-1;2,42E-2
0,480;5,84E-1;2,63E-2
0,520;6,43E-1;2,63E-2
0,560;7,08E-1;2,42E-2
0,600;7,69E-1;2,73E-2
0,640;8,27E-1;2,53E-2
0,680;8,82E-1;2,73E-2
0,720;9,30E-1;2,63E-2
