Pointages AviMéca
t;x;y
(s);(m);(m)
0,500;2,24E-3;0,00E+0
0,533;0,00E+0;-1,34E-2
0,567;2,24E-3;-4,25E-2
0,600;4,47E-3;-7,61E-2
0,633;6,71E-3;-1,25E-1
0,667;8,95E-3;-1,83E-1
0,700;1,12E-2;-2,53E-1
0,733;1,12E-2;-3,36E-1
0,767;1,79E-2;-4,25E-1
0,800;2,01E-2;-5,23E-1
0,833;2,24E-2;-6,42E-1
0,867;2,68E-2;-7,65E-1
0,900;2,68E-2;-9,01E-1
0,933;3,58E-2;-1,05E+0
0,967;3,58E-2;-1,21E+0
1,000;4,25E-2;-1,37E+0
1,033;4,25E-2;-1,55E+0
1,067;4,70E-2;-1,74E+0
