blabla
t;x;y
(s);(m);(m)
0;0;0,459
0,033;0,00848;0,456
0,067;0,0254;0,449
0,1;0,0519;0,439
0,133;0,0721;0,428
0,167;0,0975;0,419
0,2;0,127;0,406
0,233;0,158;0,392
0,267;0,194;0,378
0,3;0,234;0,36
0,333;0,277;0,343
0,367;0,322;0,324
0,4;0,373;0,301
0,433;0,428;0,278
0,467;0,489;0,254
0,5;0,547;0,231
0,533;0,61;0,205
0,567;0,675;0,177
0,6;0,746;0,146
0,633;0,812;0,121
0,667;0,892;0,0869
